Nº Registro;Denominación;Fecha última modificación;Dirección;Código Postal;Localidad;Provincia;Teléfono;Email;Web;Naturaleza;Ambito Sectorial;Destinatarios
A-0225;ASOCIACION DE VOLUNTARIADO DE LA UNIVERSIDAD DE VALLADOLID;29/03/12;CALLE REAL DE BURGOS S/N COLEGIO MAYOR FEMENINO SANTA CRUZ;47011;VALLADOLID;VALLADOLID;983 423000;voluntariado@uva.es;www.uva-es/voluntariado;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0226;ASOCIACION PARA EL DESARROLLO DE LOS CUIDADOS PALIATIVOS Y TRATAM..DOLOR EN CYL.-CPD CYL;12/04/19;CALLE SANTA MARIA LA BLANCA 1 ESC.1-PLANTA 4ª-PUERTA K;37008;SALAMANCA;SALAMANCA;639 203397;voluntariosucp@hotmail.com;;ASOCIACIÓN;SANITARIAS;ENFERMEDAD FÍSICA
A-0227;FEDERACIÓN VALLISOLETANA DE ASOCIACIONES DE VOLUNTARIADO SOCIAL;25/11/20;CALLE SAN DIEGO 1 BAJO;47003;VALLADOLID;VALLADOLID;983 351429;valladolid@aecc.es;;FEDERACIÓN-CONFEDERACIÓN;FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0228;ASOCIACION NUEVOS HORIZONTES;07/10/10;PASEO JULIA (LA) 1- ENTREPLANTA B;34002;PALENCIA;PALENCIA;979 723620;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;(MUJER)
A-0229;ASOCIACIÓN DE PROMOCIÓN GITANA (APG);26/11/20;CALLE ARANDA DE DUERO 5,BAJO;09003;BURGOS;BURGOS;947 205900;apgitana@terra.es;www.apgitanaburgos.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE;EXCLUSION SOCIAL
A-0230;COMITÉ CIUDADANO ANTISIDA DE LEÓN-CCASLE;24/11/20;AVENIDA FACULTAD DE VETERINARIA 59 BAJO;24004;LEON;LEON;987 177999;ccasle.org@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA, POBLACIÓN GENERAL
A-0231;PLATAFORMA DE VOLUNTARIADO DE SORIA;14/03/14;CALLE SANTA CLARA INSTITUTO CIENCIAS DE LA SALUD;42003;SORIA;SORIA;975 240745;pvsoria@latinmail.com y pv.soria@hotmail.com;plataformavoluntariadodesoriablockspot.com;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0232;ASOCIACIÓN DE ALCOHÓLICOS .REHABILITADOS DE BURGOS (ARBU);25/11/20;PLAZA FRAY JUSTO PEREZ DE URBEL 7 BAJO;09006;BURGOS;BURGOS;947 241924;arbu00@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;TOXICOMANÍAS Y ADICCIONES
A-0233;FUNDACION LESMES;20/07/15;PLAZA SAN JUAN BAUTISTA S/N;09001;BURGOS;BURGOS;947 244511;fundacionlesmes@fundacionlesmes.org;;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0234;ASOCIACION FAMILIARES ENFERMOS DE ALZHEIMER - AFA;18/09/17;CALLE MARAGATERIA 31-33;37006;SALAMANCA;SALAMANCA;923 282561;afasalamanca@alzheimersalamanca.com;www.alzheimersalamanca.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;DISCAPACIDAD PSIQUICA
A-0235;LIGA ESPAÑOLA EDUCACION Y CULT. POPULAR-L. VALLISO;19/06/14;CALLE PIO DEL RIO HORTEGA 13 CENTRO MUNICIPAL JOSE LUIS MOSQUERA;47014;VALLADOLID;VALLADOLID;983 334853;ligavalladolid@ligaeducacion.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0236;ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS DE LEON-A.P.A.P. LEÓN;24/11/20; CTRA. VILECHA S/N. APDO.CORREOS 1448-2400 LEON;24192;TROBAJO DEL CERECEDO;LEON;669 574777;protectoraleon@gmail.com;;ASOCIACIÓN;DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;VOLUNTARIADO
A-0237;ASOCIACIÓN AMANECER;26/11/20;CALLE CONCEPCION 17- 3º INT.;09002;BURGOS;BURGOS;947 221135;amanecer.burgos@terra.es;www.archiburgos.org/penitenciaria;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0238;ASOCIACIÓN DE FAMILIARES Y AFECTADOS DE ESCLEROSIS MÚLTIPLE DE BURGOS (AFAEM);19/04/21;PASEO DE LOS COMENDADORES S/N CENTRO GRACILIANO URBANEJA;09001;BURGOS;BURGOS;947 207946;afaemburgos@gmail.com;www.esclerosismultipleburgos.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE, SANITARIAS;ENFERMEDAD FÍSICA
A-0239;ASOCIACIÓN SOCIAL DIVERSA - LEÓN;26/09/19;CALLE REAL 30;24930;VILLAVERDE LA CHIQUITA;LEON;987 336658;manantialasoc@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL, ENFERMEDAD FÍSICA
A-0240;FUNDACION PROCLADE;13/10/10; CONDE DE SERRALLO Nº 15;28029;MADRID;MADRID;91 3147871;proclade@fundacionproclade.org;www.fundacionproclade.org;FUNDACIÓN;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, COOPERACION AL DESARROLLO;POBLACIÓN GENERAL, VOLUNTARIADO
A-0241;ASOCIACION AYUDA ENFERMOS MENTALES DE MIRANDA (ASAYEME);21/02/18;CALLE ALMACENES 18-20;09200;MIRANDA DE EBRO;BURGOS;947 312801;saludmentalmiranda@asayeme.com;www.asayeme.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD MENTAL
A-0242;ASOCIACION DE FIBROMIALGIA DE SALAMANCA (AFIBROSAL);22/07/15;CASA DE LAS ASOCIACIONES- C/ LA BAÑEZA Nº7;37006;SALAMANCA;SALAMANCA;923 216063;afibrosal@gmail.com;www.afibrosal.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0243;AVOMACYL (ASOCIACIÓN DE VOLUNTARIOS  MAYORES DE CASTILLA Y LEÓN);24/11/20;PASEO ESTACION 85;37004;SALAMANCA;SALAMANCA;923 258845;avimcyl@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES;PERSONAS MAYORES
A-0244;PLATAFORMA ABULENSE DE VOLUNTARIADO-VOLUNTAVILA;22/01/19;PASAJE CISTER (DEL) 2 BAJO;05001;AVILA;AVILA;920 352130;voluntavila@gmail.com;www.voluntavila.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, PROMOCION DEL MUNDO RURAL;POBLACIÓN GENERAL, VOLUNTARIADO
A-0245;CARITAS DIOCESANA DE LEÓN;24/11/20;CALLE SIERRA PAMBLEY , 6;24003;LEON;LEON;987 218617;caritas@caritasdeleon.org;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, OCIO Y TIEMPO LIBRE, DEFENSA DE LOS DERECHOS HUMANOS;EXCLUSION SOCIAL, INFANCIA, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], (MUJER), DISCAPACIDAD PSIQUICA, JUVENTUD, PERSONAS MAYORES, POBLACIÓN GENERAL, VOLUNTARIADO
A-0246;COLECTIVOS DE ACCION SOLIDARIA CAS;28/09/18;CALLE  NAVAS DE TOLOSA Nº 3-3º;28013;MADRID;MADRID;983 326401;cas@ong-cas.org;www.ong-cas.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;VOLUNTARIADO
A-0247;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;24/11/20;PLAZA CORTES LEONESAS 9,1ºizda.;24003;LEON;LEON;987 210126;alfaem@alfaem.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD MENTAL
A-0248;ASOCIACIÓN SOLIDARIDAD CON AMERICA LATINA-CASTILLA Y LEÓN (SAL);24/11/20;AVENIDA SANTANDER 14;47011;VALLADOLID;VALLADOLID;983 251928;salmenevalladolid@hotmail.com;www.ongsal.es;ASOCIACIÓN;EDUCATIVAS, COOPERACION AL DESARROLLO;POBLACIÓN GENERAL
A-0249;FUNDACION ALDABA "PROYECTO HOMBRE";23/07/15;C/ LINARES Nº 15;47010;VALLADOLID;VALLADOLID;983 259030;proyectohombre@proyectohombreva.org;www.proyectohombreva.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL, TOXICOMANÍAS Y ADICCIONES
A-0250;CENTRO ESPECIAL PADRE ZEGRI MERCEDARIAS DE LA CARIDAD PROVINCIA INMACULADA VIRGEN MARIA;07/04/15;CAMINO VIRGEN DE LA MERCED 12, BIS;47009;VALLADOLID;VALLADOLID;983 339694;padrezegri@feapscyl.org;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0251;PLATAFORMA DE VOLUNTARIADO SOCIAL DE SEGOVIA;31/10/18;AVENIDA FERNANDEZ LADREDA 28 ENTREPLANTA;40002;SEGOVIA;SEGOVIA;921 437394;plataformavoluntariadosg@yahoo.es;;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA;JUVENTUD, VOLUNTARIADO
A-0252;CARITAS DIOCESANA DE VALLADOLID;22/03/19;CALLE SIMON ARANDA 15;47002;VALLADOLID;VALLADOLID;983 202301;diocesana@caritasvalladolid.es;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;VOLUNTARIADO
A-0253;ASOCIACION RED DE VOLUNTARIADO SOCIAL DE SALAMANCA;05/11/20;CALLE TORO 78-80 ENTREPLANTA-P.2-OFICINA 6;37002;SALAMANCA;SALAMANCA;617 335995;tecnico@redvoluntariadosocial.org;www.redvoluntariadosocial.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;POBLACIÓN GENERAL, VOLUNTARIADO
A-0254;ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER DE PALENCIA - AFA PALENCIA;18/09/17;CALLE PUEBLA (LA) 9;34004;PALENCIA;PALENCIA;979 713888;afapalencia@terra.es;www.afapalencia.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES, VOLUNTARIADO
A-0256;ASOCIACIÓN RESPIRAVILA;24/11/20;CALLE VIRREINA MARIA DAVILA 7;05001;AVILA;AVILA;920 257913;respiravila@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0257;CLUB DEPORTIVO COLEGIOS DIOCESANOS;22/01/19;CALLE LESQUINAS 2;05001;AVILA;AVILA;920 212300;clubdiocesanos@dioceavila.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA, DEFENSA DE LOS DERECHOS HUMANOS, OCIO Y TIEMPO LIBRE, COOPERACION AL DESARROLLO;EXCLUSION SOCIAL, INFANCIA, JUVENTUD
A-0258;ASOCIACIÓN DE AMPUTADOS IBÉRICA GLOBAL-CASTILLA Y LEÓN (ADAMPI-CASTILLA Y LEÓN);24/11/20;AVENIDA CONSTITUCION 22 BAJO;;VALENCIA DE DON JUAN;LEON;679 518881;asociacion@adampicyl.es;www.adampicyl.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;ENFERMEDAD FÍSICA
B-0259;FUNDACIÓN PATRIMONIO NATURAL DE CASTILLA Y LEÓN;24/11/20;CALLE RIGOBERTO CORTEJOSO 14;47014;VALLADOLID;VALLADOLID;983 345850;patrimonionatural@patrimonionatural.org;www.patrimonionatural.org;PATRONATO DE ENTIDADES SIN FIN DE LUCRO PÚBLICAS;DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;POBLACIÓN GENERAL
A-0260;ASOCIACION RED INCOLA (ALTA EN VOLUNTARIADO);27/01/21;CALLE RUIZ HERNANDEZ 10;47002;VALLADOLID;VALLADOLID;983 307083;info@redincola.org;www.redincola.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;DISCAPACIDAD PSIQUICA, VOLUNTARIADO
A-0261;ASOCIACION DE VOLUNTARIADO PARA LA TERCERA EDAD Y EDUCADORES DE CALLE "LA ROCA";31/05/19;CALLE PILAR MIRÓ, Nº2 NAVE 20 (POLÍGONO DE ARGALES);47008;VALLADOLID;VALLADOLID;609 849040;secretarialarocacyl@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA, JUVENTUD
A-0262;FUNDACION SANTA BRIGIDA;13/10/10;CALLE CID (EL) 2 - 4º D;34004;PALENCIA;PALENCIA;699 072275;fundacionsantabrigida@gmail.com;;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0263;ASOCIACION CULTURAL MURIEL;16/02/12;CALLE SAN JOSE 2 BAJO A;34004;PALENCIA;PALENCIA;979 725195;acmuriel@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA, JUVENTUD
A-0264;ASOCIACIÓN DE PADRES Y FAMILIARES DE PERSONAS CON AUTISMO ÁVILA Y PROVINCIA;24/11/20;CALLE AGUSTIN RODRIGUEZ SAHAGUN 30;05003;AVILA;AVILA;920 222626;informate@autismoavila.org;www.autismoavila.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0265;FEDERACIÓN AUTONÓMICA DE ASOCIACIONES DE ESTUDIANTES DE CASTILLA Y LEÓN;25/11/20;AVENIDA MARIANO ANDRES 1;24008;LEON;LEON;651 177704;fadae@fadae.org;www.fadae.org;FEDERACIÓN-CONFEDERACIÓN;FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA, DEFENSA DE LOS DERECHOS HUMANOS;VOLUNTARIADO
A-0266;FUNDACION BANCO ALIMENTOS DE VALLADOLID;26/08/15;CL. CALLEJÓN DE LA ALCOHOLERA, NAVE 1;47008;VALLADOLID;VALLADOLID;983 275300;valladolid@bancodealimentos.info;;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0267;HERMANOS DE LA INSTRUCCION CRISTIANA DE ZAMORA;21/06/19;CALLE HINIESTA 122- 1º B;49024;ZAMORA;ZAMORA;980 509431;calle@menesianoszamora.com;www.menesianoszamora.com;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA, JUVENTUD
A-0268;ASOCIACIÓN DE PADRES Y FAMILIARES DE PERSONAS CON AUTISMO DE LEÓN Y  PROVINCIA;16/10/19;PLAZA PEDRO DE LA VECILLA 2;24009;ARMUNIA;LEON;987 234341;asociacion@autismoleon.org;www.autismoleon.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0269;ESCUELA "CHAMPAGNAT" DE FORMACION EN ANIMACION Y TIEMPO LIBRE;04/08/15;AVENIDA MADRID 66;47008;VALLADOLID;VALLADOLID;983 476162;echam@maristascompostela.org;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE;VOLUNTARIADO
A-0270;FUNDACION MATRIX, INVESTIGACION Y DESARROLLO SOSTENIBLE;29/04/13;CALLE CLAVEL (DEL) 12;42002;SEGOVIA;SEGOVIA;986 812635;info@fundacionmatrix.es;www.fundacionmatrix.es;FUNDACIÓN;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;POBLACIÓN GENERAL
A-0271;ASOCIACION PROTECTORA DE ANIMALES Y PLANTAS "LA ALDEA DEL BURRITO";21/11/19;CARRETERA  ZARZA (DE LA) KM. 0,800;37250;ALDEADAVILA DE LA RIBERA;SALAMANCA;687 551703;laaldeadelburrito@gmail.com;www.laaldeadelburrito.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, PROMOCION DEL MUNDO RURAL, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE, DEFENSA DEL PATRIMONIO HISTORICO Y ARTISTICO;POBLACIÓN GENERAL
A-0272;ASOCIACIÓN CULTURAL Y RECREATIVA DE MINUSVÁLIDOS FÍSICOS (ACREMIF);26/11/20;CALLE FRANCISCO VIGHI 21;34004;PALENCIA;PALENCIA;979 160046;correo.acremif@gmail.com;www.acremif.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0273;ASAMBLEA DE COOPERACION POR LA PAZ (ACPP);31/05/18;PLAZA ENCUENTRO DE LOS PUEBLOS 1;47011;VALLADOLID;VALLADOLID;947 269649;castillayleon@acpp.com;www.acpp.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, COOPERACION AL DESARROLLO;POBLACIÓN GENERAL
A-0274;ASOCIACIÓN DE AFECTADOS DE PARÁLISIS CEREBRAL Y AFINES (APACE-BURGOS);26/11/20;AVENIDA DE LA INDEPENDENCIA, Nº 5;09003;BURGOS;BURGOS;947 462004;administracion@apaceburgos.com;www.apaceburgos.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0275;CENTRO DESARROLLO RURAL "EL VILLAR";17/07/15;CALLE SIERRA PAMBLEY S/N;24286;HOSPITAL DE ORBIGO;LEON;987 388737;elvillar@cdrelvillar.org;;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES
A-0276;STOP-ACCIDENTES, ASOC.DE AYUDA Y ORIENTACION A LOS AFECTOS POR ACCIDENTES DE TRAFICO;05/11/10;CALLE TAJAHIERRO s/n;47009;VALLADOLID;VALLADOLID;656 385320;stopacastilla@stopaccidentes.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;VOLUNTARIADO
A-0277;FEDERACIÓN REGIONAL CASTILLA Y LEÓN ACOGE DE ASOCIACIONES PRO INMIGRANTES;24/11/20;CALLE FRAY LUIS DE LEON 14;47002;VALLADOLID;VALLADOLID;625 044976;cylacoge@yahoo.es;www.castillayleonacoge.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA, DEFENSA DE LOS DERECHOS HUMANOS;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS]
A-0278;ASOCIACION PADRES Y TUTORES DEL CENTRO OCUPACIONAL EL CID DE BURGOS(APACID);09/02/21;C/ Merindad de Sotoscueva Nº 9;09001;BURGOS;BURGOS;947 297199;carmen@apacid.com;www.apacid.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, CULTURALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA, JUVENTUD, VOLUNTARIADO
A-0279;ASOCIACION RED DE VOLUNTARIADO DE ZAMORA;04/08/17;CALLE LIBERTAD 20 ENTR.;49010;ZAMORA;ZAMORA;693 505834;info@redvoluntaridozamora.org;www.redvoluntariadozamora.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0280;ESCUELA DE ANIMACION Y TIEMPO LIBRE ULTREIA;10/04/19;CALLE SAN FRANCISCO 60 BAJO A;09005;BURGOS;BURGOS;616 666323;escuelaultreia@hotmail.com;www.iespana.es/ultreiaburgos;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;INFANCIA, POBLACIÓN GENERAL, VOLUNTARIADO
A-0281;ASOCIACION TAS;18/06/14;CALLE JESUS ARAMBARRI 75;37003;SALAMANCA;SALAMANCA;923 188478;asociaciontas@tas.org.es;www.tas.org.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA, JUVENTUD, POBLACIÓN GENERAL
A-0282;ESPAVILA, FORMACIÓN Y DESARROLLO SOCIAL;24/11/20;AVENIDA JUAN CARLOS I (CASA DE LAS IDEAS) 45;05004;AVILA;AVILA;920 352069;avila@espavila.es;www.espavila.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0283;SALUD MENTAL SALAMANCA-AFEMC;27/09/16;CALLE CASTROVERDE 22-26, BAJO;37008;SALAMANCA;SALAMANCA;923 190150;salamanca@feafes.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD MENTAL
A-0284;MANOS UNIDAS;04/05/11;CALLE SIMON ARANDA 13 1º;47002;VALLADOLID;VALLADOLID;983 305065;valladolid@manosunidas.org;www.manosunidas.org;ASOCIACIÓN;COOPERACION AL DESARROLLO;VOLUNTARIADO
A-0285;ORGANIZACION NO GUBERNAMENTAL PARA LA COOPERACION SOLIDARIA (AMYCOS);02/07/13;CALLE MOLINILLO 1;09002;BURGOS;BURGOS;947 277121;info@amycos.org;www.amycos.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, COOPERACION AL DESARROLLO;EXCLUSION SOCIAL, VOLUNTARIADO
A-0286;ASOCIACIÓN DE PARÁLISIS CEREBRAL Y PATOLOGÍAS AFINES (ASPACE - SORIA);26/11/20;CALLE ENRIQUE PASCUAL OLIVA 4;42004;SORIA;SORIA;975 232375;aspace.soria@gmail.com;www.aspacesoria.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;VOLUNTARIADO
A-0287;ASOCIACION DE INTERVENCION SOCIAL ALIENTO;29/07/20;CALLE RAMON Y CAJAL 6;09002;BURGOS;BURGOS;947 257707;juanjo@edeb.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE;POBLACIÓN GENERAL, VOLUNTARIADO
A-0288;FUNDACION ENTRECULTURAS-FE Y ALEGRIA;17/12/13;CALLE RUIZ HERNANDEZ 10;47002;VALLADOLID;VALLADOLID;91 5902672;entreculturas@entreculturas.org;www.entreculturas.orga;FUNDACIÓN;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, COOPERACION AL DESARROLLO;POBLACIÓN GENERAL, VOLUNTARIADO
A-0289;ASOCIACIÓN ADICAE CASTILLA Y LEÓN;24/11/20;CALLE CARIDAD 1 2º C;47001;VALLADOLID;VALLADOLID;983 373173;valladolid@adicae.net;www.castillayleon.adicae.net;ASOCIACIÓN;PROTECCION DE CONSUMIDORES Y USUARI0S;POBLACIÓN GENERAL, VOLUNTARIADO
A-0290;FUNDACIÓN CASTELLANO-LEONESA PARA LA TUTELA DE PERSONAS MAYORES (FUNDAMAY);24/11/20;CALLE RASTROJO 5 - LOCAL;47014;VALLADOLID;VALLADOLID;983 201955;fundamay@fundamay.org;www.fundamay.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
B-0291;FUNDACIÓN CIUDAD DE LA ENERGIA-CIUDEN;04/12/20;II AVENIDA COMPOSTILLA, 2;24400;PONFERRADA;LEON;987 456323;concepcion.fenandez@ciuden.es;www.ciuden.es;PATRONATO DE ENTIDADES SIN FIN DE LUCRO PÚBLICAS;PROMOCION DEL MUNDO RURAL, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;POBLACIÓN GENERAL, VOLUNTARIADO
A-0292;FUNDACIÓN PERSONAS;21/12/20;CALLE PILAR MIRÓ, Nº1 PARC 15 (POLÍGONO DE ARGALES);47008;VALLADOLID;VALLADOLID;983 225125;fundacionpersonas@fundacionpersonas.es;;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DESARROLLO DE LA VIDA ASOCIATIVA;DISCAPACIDAD PSIQUICA
B-0293;AYUNTAMIENTO DE BERLANGA DE DUERO;11/03/14;PLAZA MAYOR, 1;42360;BERLANGA DE DUERO;SORIA;975 343011;info@berlangadeduero.es;www.berlangadeduero.es;ADMINISTRACIÓN LOCAL;PROMOCION DEL MUNDO RURAL, CULTURALES;POBLACIÓN GENERAL, VOLUNTARIADO
A-0294;INTEGRACIÓN SOCIO LABORAL MINUSVÁLIDOS PSÍQUICOS INSOLAMIS;26/11/18;CALLE ANTONIO MONTESINOS 14 BAJO;37003;SALAMANCA;SALAMANCA;923 186859;gerencia@insolamis.org;www.insolamis.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0295;FUNDACION MUNICIPALIA;24/10/13;CALLE RONDA DE LAS PISCINAS 38;24492;CUBILLOS DEL SIL;LEON;987 428339;reyesdecaso@municipalia.org;WWW.MUNICIPALIA.ORG;FUNDACIÓN;PROMOCION DEL MUNDO RURAL, CULTURALES, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;POBLACIÓN GENERAL, VOLUNTARIADO
A-0296;FUNDACION KUMEN;12/04/18;CALLE PAULINA HARRIET 8 ENTREPLANTA;47001;VALLADOLID;VALLADOLID;983 232183;info@kumenfundacion.org;www.kumenfundacion.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], DISCAPACIDAD PSIQUICA, PERSONAS MAYORES
A-0297;ASOCIACIÓN PARA LA LUCHA CONTRA LAS ENFERMEDADES DEL RIÑÓN. ALCER-ÁVILA;24/11/20;CALLE VALLADOLID 74;05004;AVILA;AVILA;639 365125;alceravila@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;VOLUNTARIADO
A-0298;ASOCIACION AMIGOS SIN BARRERAS ( BAJA REGISTRO, ALTA VOLUNTARIADO);07/06/16;AVENIDA CONSTITUCION 271;24010;TROBAJO DEL CAMINO;LEON;987 802915;amigos-sinbarrreras@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
